iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.4037503e+05 1.00e+04 1.43e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.7896875e+05 9.37e+03 4.37e+02  -1.0 2.86e+02   0.0 3.97e-01 3.46e-01f  1
   2  1.3204153e+05 6.44e+03 6.92e+02  -1.0 1.67e+02   0.4 4.36e-01 3.94e-01f  1
   3  1.2906518e+05 6.22e+03 6.69e+02  -1.0 6.39e+01  -0.1 1.56e-01 3.44e-02f  1
   4  1.2465795e+05 5.88e+03 6.32e+02  -1.0 5.80e+01   0.4 5.54e-01 5.57e-02f  1
   5  1.0440197e+05 4.58e+03 4.43e+02  -1.0 7.90e+01  -0.1 1.03e-01 2.36e-01f  1
   6  1.0375816e+05 4.53e+03 4.43e+02  -1.0 6.25e+01   1.2 3.96e-01 1.07e-02f  1
   7  9.8461312e+04 4.16e+03 4.11e+02  -1.0 1.18e+02   0.7 3.51e-02 8.28e-02f  1
   8  9.7132799e+04 4.07e+03 9.29e+02  -1.0 1.28e+02   1.2 8.02e-01 2.27e-02f  1
   9  9.1039226e+04 3.64e+03 7.69e+02  -1.0 1.13e+02   1.6 7.90e-02 1.08e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  8.8028418e+04 3.42e+03 7.03e+02  -1.0 1.89e+02   1.1 1.13e-01 5.99e-02f  1
  11  8.7396834e+04 3.33e+03 6.80e+02  -1.0 1.36e+03   0.6 3.89e-02 1.99e-02f  1
  12  8.6390170e+04 3.26e+03 9.07e+02  -1.0 1.16e+02   1.1 2.15e-01 2.24e-02f  1
  13  8.0587182e+04 2.89e+03 8.12e+02  -1.0 1.22e+02   0.6 1.33e-02 1.34e-01f  1
  14  8.0512037e+04 2.88e+03 1.06e+03  -1.0 1.66e+02   0.1 1.02e-01 2.19e-03f  1
  15  8.0260899e+04 2.87e+03 1.08e+04  -1.0 3.73e+02   0.5 1.17e-01 5.17e-03f  1
  16  7.6292883e+04 2.64e+03 8.81e+03  -1.0 3.27e+02   0.1 5.20e-02 8.21e-02f  1
  17  7.5942044e+04 2.62e+03 2.05e+04  -1.0 2.90e+02   0.5 2.81e-01 7.37e-03f  1
  18  7.0469291e+04 2.31e+03 1.78e+04  -1.0 2.52e+02   0.0 3.39e-01 1.22e-01f  1
  19  7.1680423e+04 2.23e+03 1.81e+04  -1.0 9.92e+02  -0.5 9.11e-03 2.77e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  7.1497026e+04 2.22e+03 1.74e+04  -1.0 1.41e+02  -0.0 2.87e-02 5.37e-03f  1
  21  7.1502518e+04 2.21e+03 1.72e+04  -1.0 4.55e+02  -0.5 7.66e-03 1.91e-03h  1
  22  7.1499229e+04 2.21e+03 1.01e+04  -1.0 1.47e+02  -0.1 2.96e-01 1.01e-04f  1
  23  7.1679629e+04 2.18e+03 7.83e+03  -1.0 5.78e+02  -0.6 8.15e-02 1.26e-02h  1
  24  6.7862595e+04 2.12e+03 8.72e+03  -1.0 2.02e+02  -0.1 7.18e-03 1.30e-01f  1
  25  6.7376592e+04 2.05e+03 1.85e+03  -1.0 1.97e+02  -0.6 5.14e-01 3.09e-02f  1
  26  6.7588482e+04 2.04e+03 2.16e+03  -1.0 6.26e+02  -1.1 2.55e-02 6.34e-03h  1
  27  6.7528945e+04 2.04e+03 2.17e+03  -1.0 1.61e+02   1.1 2.20e-03 2.72e-03f  1
  28  6.7520310e+04 2.03e+03 2.03e+03  -1.0 1.78e+02   0.7 2.54e-02 3.76e-04f  1
  29  6.5313362e+04 1.89e+03 1.56e+03  -1.0 2.01e+02   0.2 2.42e-03 9.36e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.3115834e+04 1.70e+03 1.82e+03  -1.0 1.99e+02  -0.3 1.71e-01 1.09e-01f  1
  31  6.3432430e+04 1.69e+03 1.81e+03  -1.0 6.95e+02    -  7.62e-03 6.61e-03h  1
  32  6.3820887e+04 1.67e+03 1.93e+03  -1.0 5.98e+02    -  2.37e-02 1.05e-02h  1
  33  6.3850852e+04 1.67e+03 1.92e+03  -1.0 5.10e+02    -  1.26e-04 1.09e-03h  1
  34  6.3815027e+04 1.67e+03 1.91e+03  -1.0 1.47e+02   1.0 3.01e-03 2.48e-03f  1
  35  6.3779796e+04 1.66e+03 1.91e+03  -1.0 1.48e+02   0.6 5.96e-03 2.43e-03f  1
  36  6.3427338e+04 1.62e+03 1.96e+03  -1.0 1.40e+02   1.0 2.65e-03 2.53e-02f  1
  37  6.3401349e+04 1.62e+03 1.96e+03  -1.0 1.32e+02   0.5 5.96e-03 2.10e-03f  1
  38  6.3326301e+04 1.61e+03 1.78e+03  -1.0 1.26e+02   0.9 5.38e-02 6.50e-03f  1
  39  6.3193665e+04 1.59e+03 1.75e+03  -1.0 1.28e+02   0.5 1.74e-03 1.09e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  6.3192390e+04 1.59e+03 1.55e+03  -1.0 1.18e+02   0.9 8.23e-02 1.18e-04f  1
  41  6.3020523e+04 1.55e+03 1.48e+03  -1.0 1.42e+02   0.4 2.05e-03 2.87e-02f  1
  42  6.3219961e+04 1.54e+03 1.45e+03  -1.0 9.47e+02    -  2.45e-03 4.60e-03h  1
  43  6.3252875e+04 1.54e+03 1.88e+03  -1.0 3.83e+02    -  6.37e-02 2.55e-03h  1
  44  6.3516799e+04 1.51e+03 2.30e+03  -1.0 3.64e+02    -  9.42e-02 2.26e-02h  1
  45  6.4878117e+04 1.36e+03 1.23e+03  -1.0 2.78e+02    -  7.82e-02 1.99e-01h  1
  46  6.4276696e+04 1.26e+03 9.85e+02  -1.0 2.60e+02    -  2.19e-03 7.30e-02f  1
  47  6.4276735e+04 1.26e+03 9.75e+02  -1.0 6.52e+01   1.7 1.97e-03 4.43e-04h  1
  48  6.4277426e+04 1.26e+03 9.72e+02  -1.0 6.86e+01   1.3 2.11e-03 9.21e-04h  1
  49  6.4239051e+04 1.25e+03 9.48e+02  -1.0 2.53e+02    -  2.49e-04 8.37e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.4239102e+04 1.25e+03 9.07e+02  -1.0 6.77e+01   1.7 7.34e-03 6.74e-05h  1
  51  6.4240075e+04 1.25e+03 1.74e+03  -1.0 7.32e+01   1.2 3.81e-01 5.91e-04h  1
  52  6.3995833e+04 1.16e+03 1.74e+03  -1.0 2.56e+02    -  1.04e-02 7.20e-02f  1
  53  6.3424189e+04 1.05e+03 1.55e+03  -1.0 2.30e+02    -  1.08e-01 1.14e-01f  1
  54  6.2787450e+04 9.88e+02 1.56e+03  -1.0 1.98e+02    -  1.45e-03 8.20e-02f  1
  55  6.2793000e+04 9.84e+02 1.68e+03  -1.0 6.55e+01   1.6 2.05e-02 4.38e-03h  1
  56  6.2841590e+04 9.39e+02 2.52e+03  -1.0 7.16e+01   1.2 7.00e-01 4.82e-02h  1
  57  6.2843647e+04 9.37e+02 3.02e+03  -1.0 6.95e+01   1.6 9.16e-02 1.65e-03h  1
  58  6.2877153e+04 8.83e+02 2.85e+03  -1.0 8.23e+01   1.1 1.18e-02 6.20e-02h  1
  59  6.2883137e+04 8.77e+02 4.90e+03  -1.0 7.46e+01   1.5 5.15e-01 7.45e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  6.2928155e+04 8.41e+02 1.43e+04  -1.0 7.10e+01   2.0 6.95e-01 4.21e-02h  1
  61  6.2864139e+04 8.04e+02 1.38e+04  -1.0 9.88e+01   1.5 3.03e-02 4.83e-02f  1
  62  6.2858991e+04 7.99e+02 1.96e+04  -1.0 8.49e+01   1.9 1.00e+00 7.05e-03h  1
  63  6.2867067e+04 7.39e+02 2.01e+04  -1.0 7.79e+01   2.3 1.76e-01 8.22e-02h  1
  64  6.2866285e+04 7.38e+02 1.09e+05  -1.0 7.22e+01   2.8 1.00e+00 9.63e-04h  1
  65  6.2581015e+04 7.04e+02 1.04e+05  -1.0 1.11e+02   2.3 3.29e-02 5.08e-02f  1
  66  6.2571038e+04 6.77e+02 9.08e+04  -1.0 5.37e+01   2.7 7.03e-01 3.85e-02h  1
  67  6.2486365e+04 6.02e+02 8.59e+04  -1.0 6.57e+01   2.2 3.80e-02 1.12e-01f  1
  68  6.2485438e+04 6.00e+02 6.59e+04  -1.0 6.62e+01   2.7 7.41e-01 2.34e-03h  1
