iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  6.2547920e+05 1.00e+06 1.39e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.1282262e+05 9.57e+05 1.28e+02  -1.0 3.04e+03   0.0 4.47e-02 4.49e-02f  1
   2  6.1203565e+05 9.54e+05 1.31e+02  -1.0 3.01e+03  -0.5 7.61e-02 2.97e-03f  1
   3  6.0740929e+05 9.37e+05 1.77e+02  -1.0 3.07e+03  -0.1 8.97e-02 1.85e-02f  1
   4  6.0372396e+05 9.17e+05 1.91e+02  -1.0 3.06e+03  -0.5 9.09e-02 2.14e-02f  1
   5  6.0105097e+05 9.02e+05 4.17e+02  -1.0 3.27e+03  -0.1 1.25e-01 1.64e-02f  1
   6  6.0116937e+05 8.87e+05 4.20e+02  -1.0 6.14e+03  -0.6 3.03e-02 1.66e-02h  1
   7  6.0011506e+05 8.80e+05 7.96e+02  -1.0 3.78e+03  -0.2 8.77e-02 8.34e-03f  1
   8  5.9820696e+05 8.69e+05 2.78e+03  -1.0 4.07e+03   0.3 9.71e-02 1.34e-02f  1
   9  5.9804971e+05 8.56e+05 2.93e+03  -1.0 7.51e+03  -0.2 4.57e-02 1.44e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.9675093e+05 8.47e+05 4.12e+03  -1.0 5.21e+03   0.2 6.11e-02 1.11e-02f  1
  11  5.9373450e+05 8.29e+05 7.31e+03  -1.0 5.60e+03   0.6 7.39e-02 2.23e-02f  1
  12  5.9342094e+05 8.28e+05 2.03e+04  -1.0 7.34e+03   1.1 1.27e-01 1.59e-03f  1
  13  5.8429376e+05 8.11e+05 7.50e+05  -1.0 1.05e+04   0.6 2.34e-01 2.59e-02f  1
  14  5.7734474e+05 7.90e+05 7.82e+07  -1.0 9.29e+03   1.0 2.37e-02 5.11e-02f  1
  15  5.7295466e+05 7.60e+05 7.38e+07  -1.0 4.28e+03   1.4 8.71e-02 5.02e-02f  1
  16  5.7282804e+05 7.59e+05 7.37e+07  -1.0 3.20e+03   1.9 1.43e-01 1.32e-03f  1
  17  5.7271645e+05 7.59e+05 7.36e+07  -1.0 3.11e+03   1.4 1.42e-01 1.16e-03f  1
  18  5.6923666e+05 7.34e+05 7.08e+07  -1.0 3.17e+03   1.8 2.96e-01 3.67e-02f  1
  19  5.6464704e+05 7.04e+05 6.74e+07  -1.0 2.60e+03   2.2 3.61e-01 4.33e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  5.5867529e+05 6.74e+05 6.42e+07  -1.0 2.00e+03   1.8 4.81e-01 4.49e-02f  1
  21  5.4965766e+05 6.30e+05 5.94e+07  -1.0 1.68e+03   2.2 5.68e-01 6.74e-02f  1
  22  5.4926506e+05 6.28e+05 5.92e+07  -1.0 1.23e+03   2.6 7.85e-01 2.75e-03f  1
  23  5.2204505e+05 5.15e+05 4.40e+07  -1.0 1.17e+03   2.1 8.56e-01 1.83e-01f  1
  24  5.2164778e+05 5.14e+05 4.39e+07  -1.0 6.08e+02   2.6 9.65e-01 2.49e-03f  1
  25  4.9068247e+05 4.24e+05 3.33e+07  -1.0 6.07e+02   2.1 4.11e-01 1.83e-01f  1
  26  4.9021521e+05 4.23e+05 3.32e+07  -1.0 5.26e+02   2.5 2.74e-01 2.84e-03f  1
  27  4.7752141e+05 3.92e+05 3.05e+07  -1.0 5.27e+02   2.0 2.49e-01 7.67e-02f  1
  28  4.7738123e+05 3.92e+05 3.05e+07  -1.0 4.93e+02   2.5 8.67e-01 8.58e-04f  1
  29  4.7083416e+05 3.77e+05 2.93e+07  -1.0 4.94e+02   2.0 1.00e+00 4.01e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  4.3233231e+05 3.00e+05 2.04e+07  -1.0 4.76e+02   2.4 6.18e-01 2.38e-01f  1
  31  4.3106942e+05 2.98e+05 2.03e+07  -1.0 4.53e+02   1.9 1.00e+00 8.45e-03f  1
  32  4.2814636e+05 2.92e+05 2.00e+07  -1.0 4.54e+02   2.4 2.19e-01 1.93e-02f  1
  33  4.2661369e+05 2.89e+05 1.98e+07  -1.0 4.64e+02   1.9 9.70e-01 1.02e-02f  1
  34  3.9819327e+05 2.40e+05 1.61e+07  -1.0 4.67e+02   2.3 2.27e-01 1.87e-01f  1
  35  3.8541488e+05 2.20e+05 1.47e+07  -1.0 5.39e+02   1.8 9.04e-03 8.90e-02f  1
  36  3.8538477e+05 2.20e+05 1.48e+07  -1.0 5.64e+02   1.4 8.99e-01 2.18e-04f  1
  37  3.8368194e+05 2.02e+05 1.35e+07  -1.0 1.33e+04   0.9 8.63e-02 8.37e-02f  1
  38  3.8190866e+05 2.00e+05 1.34e+07  -1.0 6.00e+02   1.3 9.94e-01 1.30e-02f  1
  39  3.7163247e+05 1.85e+05 1.23e+07  -1.0 6.04e+02   0.8 7.79e-02 7.49e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.7101248e+05 1.84e+05 1.23e+07  -1.0 6.17e+02   1.3 1.00e+00 4.64e-03f  1
  41  3.5518004e+05 1.64e+05 1.09e+07  -1.0 6.18e+02   0.8 4.36e-01 1.16e-01f  1
  42  3.5447350e+05 1.63e+05 1.09e+07  -1.0 6.32e+02   1.2 8.32e-01 5.43e-03f  1
  43  3.3752554e+05 1.44e+05 9.56e+06  -1.0 6.23e+02   0.7 5.38e-01 1.21e-01f  1
  44  3.3374010e+05 1.42e+05 9.37e+06  -1.0 2.22e+03   1.2 1.07e-01 1.55e-02f  1
  45  2.9965622e+05 1.70e+05 8.52e+06  -1.0 5.03e+03   0.7 1.21e-01 9.08e-02f  1
  46  2.9898152e+05 1.69e+05 8.46e+06  -1.0 2.45e+03   2.0 3.25e-01 3.53e-03f  1
  47  2.9890721e+05 1.63e+05 8.15e+06  -1.0 5.24e+03   1.5 8.35e-02 3.77e-02f  1
  48  2.9856800e+05 1.63e+05 8.12e+06  -1.0 6.75e+02   1.1 3.82e-01 2.66e-03f  1
  49  2.9856434e+05 1.63e+05 8.12e+06  -1.0 6.69e+02   0.6 1.40e-02 2.72e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.9847280e+05 1.63e+05 8.12e+06  -1.0 4.01e+03   1.0 7.45e-05 2.43e-04f  1
  51  2.9827603e+05 1.63e+05 8.10e+06  -1.0 6.94e+03   0.5 2.73e-02 6.20e-04f  1
  52  2.7909369e+05 1.76e+05 7.73e+06  -1.0 4.14e+03   1.0 2.62e-03 5.15e-02f  1
  53  2.6746666e+05 1.73e+05 7.48e+06  -1.0 2.40e+03   0.5 1.83e-02 3.34e-02f  1
  54  2.6727907e+05 1.73e+05 7.56e+06  -1.0 2.29e+03   0.9 3.00e-01 5.32e-04f  1
  55  2.6726882e+05 1.73e+05 7.59e+06  -1.0 2.61e+03   0.4 5.84e-02 3.03e-05f  1
  56  2.5715938e+05 1.68e+05 7.69e+06  -1.0 2.74e+03   0.9 6.43e-01 2.95e-02f  1
  57  2.4549909e+05 1.62e+05 7.49e+06  -1.0 2.78e+03   0.4 8.00e-02 3.21e-02f  1
  58  2.4527539e+05 1.62e+05 7.99e+06  -1.0 2.76e+03   0.8 4.02e-01 6.17e-04f  1
  59  2.3659275e+05 1.58e+05 7.83e+06  -1.0 2.72e+03   0.3 5.03e-02 2.46e-02f  1
