iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  7.5308471e+06 2.50e+07 1.44e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.4511110e+06 2.48e+07 9.18e+01  -1.0 1.04e+05    -  2.67e-02 1.22e-02f  1
   2  7.4242933e+06 2.46e+07 1.90e+03  -1.0 1.50e+05  -2.0 8.02e-03 6.38e-03f  1
   3  7.3505850e+06 2.42e+07 1.86e+03  -1.0 9.01e+04  -1.6 1.77e-02 1.87e-02f  1
   4  7.0556662e+06 2.51e+07 1.60e+04  -1.0 5.17e+04  -1.1 5.95e-02 7.67e-02f  1
   5  6.9003055e+06 2.42e+07 1.51e+04  -1.0 2.19e+04  -0.7 1.52e-01 4.18e-02f  1
   6  6.7333248e+06 2.33e+07 1.41e+04  -1.0 1.80e+04  -0.3 1.98e-01 4.62e-02f  1
   7  6.1802939e+06 2.11e+07 1.08e+04  -1.0 1.42e+04  -0.8 2.36e-01 1.53e-01f  1
   8  6.0113983e+06 2.01e+07 1.01e+04  -1.0 7.40e+03  -0.3 5.93e-01 5.14e-02f  1
   9  5.4107656e+06 1.71e+07 1.06e+04  -1.0 1.20e+04  -0.8 4.12e-01 1.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.8183161e+06 1.41e+07 7.38e+03  -1.0 3.51e+03  -0.4 8.44e-01 2.05e-01f  1
  11  4.0497361e+06 1.05e+07 5.90e+03  -1.0 2.64e+03  -0.9 8.77e-01 3.02e-01f  1
  12  3.9817329e+06 1.01e+07 5.70e+03  -1.0 3.12e+03  -0.4 6.37e-01 3.38e-02f  1
  13  3.7394649e+06 8.93e+06 4.94e+03  -1.0 3.49e+03  -0.9 2.65e-01 1.23e-01f  1
  14  3.6578018e+06 8.53e+06 4.70e+03  -1.0 3.29e+03  -0.5 3.65e-01 4.49e-02f  1
  15  3.4653544e+06 7.63e+06 4.11e+03  -1.0 3.68e+03  -1.0 6.72e-01 1.09e-01f  1
  16  3.4520212e+06 7.57e+06 4.08e+03  -1.0 3.34e+03  -0.6 7.27e-01 8.06e-03f  1
  17  3.1611045e+06 6.28e+06 3.11e+03  -1.0 3.67e+03  -1.0 2.46e-01 1.77e-01f  1
  18  3.1523434e+06 6.25e+06 3.09e+03  -1.0 7.45e+03  -1.5 2.33e-01 6.00e-03f  1
  19  3.0659329e+06 5.89e+06 6.09e+03  -1.0 3.63e+03  -1.1 4.73e-01 5.72e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.0014292e+06 6.78e+06 7.06e+03  -1.0 5.96e+04  -1.6 4.73e-02 2.28e-02f  1
  21  2.9991670e+06 6.78e+06 5.15e+04  -1.0 5.07e+04  -1.1 1.81e-01 9.49e-04f  1
  22  2.9915431e+06 6.76e+06 5.18e+04  -1.0 7.81e+04  -1.6 6.32e-03 2.38e-03f  1
  23  2.9835718e+06 6.74e+06 5.52e+04  -1.0 5.31e+04  -1.2 9.07e-03 2.99e-03f  1
  24  2.7752079e+06 1.05e+07 5.16e+04  -1.0 9.13e+04  -1.7 1.51e-02 5.44e-02f  1
  25  2.7488880e+06 1.04e+07 8.87e+04  -1.0 1.09e+05  -1.2 1.02e-01 8.25e-03f  1
  26  2.7300977e+06 1.03e+07 5.65e+04  -1.0 1.48e+05  -0.8 1.15e-04 7.06e-03f  1
  27  2.7295308e+06 1.03e+07 4.34e+04  -1.0 1.99e+04   1.4 3.28e-07 3.54e-04f  1
  28  2.7291644e+06 1.03e+07 1.08e+05  -1.0 1.73e+05   0.9 3.97e-05 1.11e-04f  1
  29  2.7289858e+06 1.03e+07 5.09e+05  -1.0 1.93e+05   1.4 2.78e-04 5.00e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.7270064e+06 1.03e+07 1.30e+06  -1.0 2.10e+05   0.9 1.28e-03 5.37e-04f  1
  31  2.7244282e+06 1.03e+07 4.34e+05  -1.0 2.56e+05   1.3 3.43e-04 5.61e-04f  1
  32  2.7127427e+06 1.03e+07 1.36e+06  -1.0 2.86e+05   0.8 7.98e-04 1.59e-03f  1
  33  2.6173218e+06 1.05e+07 4.93e+06  -1.0 4.53e+05   0.4 4.63e-05 9.11e-03f  1
  34  2.6147383e+06 1.05e+07 4.54e+07  -1.0 1.34e+05   1.7 7.69e-03 3.00e-04f  1
  35  2.5352441e+06 1.11e+07 4.01e+07  -1.0 1.44e+05   1.2 6.67e-03 9.75e-03f  1
  36  2.5296202e+06 1.13e+07 3.77e+07  -1.0 1.31e+05   1.6 1.06e-04 5.00e-03f  1
  37  2.5290930e+06 1.13e+07 8.10e+07  -1.0 8.84e+04   2.1 1.46e-02 3.12e-04f  1
  38  2.5290922e+06 1.13e+07 8.22e+07  -1.0 1.08e+05   1.6 8.14e-03 1.63e-06h  1
  39  2.5200828e+06 1.13e+07 1.20e+08  -1.0 8.72e+04   2.0 2.11e-02 5.47e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.5206588e+06 1.15e+07 1.20e+08  -1.0 1.11e+05   1.5 2.53e-03 6.91e-03h  1
  41  2.5205042e+06 1.15e+07 3.03e+08  -1.0 8.36e+04   2.9 1.22e-02 1.01e-04f  1
  42  2.5205028e+06 1.15e+07 3.06e+08  -1.0 8.50e+04   2.4 6.05e-04 9.70e-07f  1
  43  2.5205027e+06 1.15e+07 3.18e+08  -1.0 7.81e+04   2.8 4.81e-04 2.45e-08h  2
  44  2.5187366e+06 1.15e+07 3.55e+08  -1.0 8.86e+04   2.3 4.51e-03 3.36e-04f  1
