iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  49  1.7834376e+06 3.22e+06 4.96e+07  -1.0 1.33e+04  -2.8 1.58e-02 1.48e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.7687074e+06 3.19e+06 4.62e+07  -1.0 3.28e+04  -2.3 1.79e-03 7.42e-03f  1
  51  1.7496345e+06 3.15e+06 4.67e+07  -1.0 1.85e+04  -1.9 1.74e-02 1.19e-02f  1
  52  1.7473131e+06 3.15e+06 4.44e+07  -1.0 2.17e+04  -2.4 4.18e-02 1.47e-03f  1
  53  1.7376208e+06 3.14e+06 3.99e+07  -1.0 8.39e+04  -1.9 1.47e-02 3.64e-03f  1
  54  1.7343066e+06 3.13e+06 4.06e+07  -1.0 2.75e+04  -2.4 4.72e-03 2.96e-03f  1
  55  1.7330295e+06 3.13e+06 4.22e+07  -1.0 1.07e+06  -2.0 1.97e-04 1.06e-04f  1
  56  1.7327535e+06 3.13e+06 6.34e+08  -1.0 2.68e+06  -2.5 1.21e-04 1.13e-05f  1
  57  1.7324892e+06 3.13e+06 2.35e+09  -1.0 2.30e+08  -3.0 2.63e-06 5.16e-07f  1
  58  1.7324274e+06 3.13e+06 6.88e+10  -1.0 9.46e+07    -  7.88e-06 3.23e-07f  1
  59  1.7323277e+06 3.13e+06 1.39e+12  -1.0 5.60e+09    -  1.39e-07 7.14e-09f  1
In iteration 59, 2 Slacks too small, adjusting variable bounds
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.7321657e+06 3.13e+06 3.61e+13  -1.0 3.18e+08    -  1.88e-06 6.10e-08f  1
In iteration 60, 2 Slacks too small, adjusting variable bounds
  61  1.7321054e+06 3.13e+06 4.11e+15  -1.0 9.99e+06    -  9.33e-05 8.39e-07f  1
In iteration 61, 1 Slack too small, adjusting variable bound
  62  1.7316710e+06 3.13e+06 6.37e+17  -1.0 9.44e+04    -  3.55e-02 1.54e-04f  1
  63r 1.7316710e+06 3.13e+06 1.00e+03   4.5 0.00e+00  12.9 0.00e+00 4.15e-07R  6
  64r 1.7316545e+06 3.13e+06 1.32e+07   4.5 1.62e+07    -  1.62e-03 2.71e-07f  8
  65r 1.6047749e+06 1.45e+06 1.67e+07   3.8 1.18e+07    -  1.02e-02 2.63e-03f  1
  66  1.6047042e+06 1.45e+06 1.15e+02  -1.0 5.85e+03    -  7.57e-03 6.51e-05f  1
  67  1.6045967e+06 1.45e+06 4.11e+02  -1.0 5.45e+03    -  3.37e-04 9.45e-05f  1
  68  1.6047242e+06 1.45e+06 1.09e+02  -1.0 2.56e+05    -  2.69e-07 3.37e-05h  1
  69  1.6061939e+06 1.45e+06 1.49e+02  -1.0 3.96e+05    -  2.32e-05 2.24e-04h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.6069644e+06 1.45e+06 1.16e+02  -1.0 4.91e+05    -  1.07e-04 9.56e-05h  2
  71  1.6079215e+06 1.45e+06 5.26e+02  -1.0 5.73e+05    -  2.54e-04 1.01e-04h  2
  72  1.6086905e+06 1.45e+06 3.31e+03  -1.0 7.18e+05    -  4.39e-04 6.40e-05h  3
  73  1.6090465e+06 1.45e+06 6.09e+03  -1.0 8.89e+05    -  2.29e-04 2.37e-05h  5
  74r 1.6090465e+06 1.45e+06 1.00e+03   4.2 0.00e+00    -  0.00e+00 4.17e-07R 11
  75r 1.6060614e+06 1.44e+06 1.92e+06   4.2 3.24e+06    -  1.18e-02 6.74e-05f  1
  76r 1.4398784e+06 1.10e+06 1.00e+07   3.5 1.47e+06    -  2.71e-02 7.26e-03f  1
  77  1.4397700e+06 1.10e+06 3.86e+01  -1.0 5.54e+03    -  1.73e-03 1.01e-04f  1
  78  1.4396793e+06 1.10e+06 3.41e+02  -1.0 4.10e+04    -  3.31e-03 1.72e-04f  1
  79  1.4403526e+06 1.10e+06 3.41e+02  -1.0 1.66e+05    -  5.44e-04 5.45e-04h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.4408302e+06 1.10e+06 9.57e+02  -1.0 1.91e+05    -  1.76e-03 3.15e-04h  3
  81  1.4413129e+06 1.10e+06 1.10e+03  -1.0 2.07e+05    -  5.51e-04 2.88e-04h  4
  82  1.4418100e+06 1.10e+06 2.44e+03  -1.0 2.17e+05    -  2.21e-03 2.84e-04h  4
  83  1.4421320e+06 1.10e+06 3.01e+03  -1.0 2.27e+05    -  7.04e-04 1.78e-04h  5
  84  1.4424540e+06 1.10e+06 6.53e+03  -1.0 2.32e+05    -  2.77e-03 1.77e-04h  5
  85  1.4428018e+06 1.10e+06 8.09e+03  -1.0 2.36e+05    -  8.28e-04 1.91e-04h  5
  86  1.4431200e+06 1.10e+06 1.89e+04  -1.0 2.40e+05    -  3.46e-03 1.76e-04h  5
  87  1.4434099e+06 1.10e+06 2.49e+04  -1.0 2.42e+05    -  9.72e-04 1.64e-04h  5
  88  1.4436734e+06 1.10e+06 6.60e+04  -1.0 2.42e+05    -  4.06e-03 1.54e-04h  5
  89  1.4474930e+06 1.09e+06 3.81e+04  -1.0 2.41e+05    -  1.33e-03 2.31e-03w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.4475148e+06 1.09e+06 3.09e+04  -1.0 1.51e+05    -  3.18e-05 3.69e-05w  1
  91  1.4475352e+06 1.09e+06 2.21e+05  -1.0 1.73e+06    -  2.78e-06 9.16e-07w  1
  92  1.4441508e+06 1.10e+06 9.55e+04  -1.0 1.25e+07    -  1.33e-03 2.89e-04h  3
  93  1.4445396e+06 1.09e+06 1.12e+05  -1.0 2.37e+05    -  6.15e-04 2.58e-04h  4
  94  1.4448535e+06 1.09e+06 1.09e+06  -1.0 2.30e+05    -  1.55e-02 2.33e-04h  4
  95  1.4450489e+06 1.09e+06 1.05e+06  -1.0 2.22e+05    -  9.66e-05 1.66e-04h  2
  96  1.4452367e+06 1.09e+06 1.07e+06  -1.0 2.15e+05    -  2.34e-04 1.98e-04h  4
  97  1.4454909e+06 1.09e+06 1.11e+06  -1.0 2.06e+05    -  4.21e-04 3.61e-04h  3
  98  1.4456257e+06 1.09e+06 1.78e+06  -1.0 1.88e+05    -  9.44e-04 2.98e-04h  3
  99  1.4457450e+06 1.09e+06 1.64e+06  -1.0 1.73e+05    -  4.19e-04 4.87e-04h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.4456993e+06 1.09e+06 5.48e+07  -1.0 1.49e+05    -  1.35e-02 5.70e-04f  1
 101r 1.4456993e+06 1.09e+06 1.00e+03   4.1 0.00e+00    -  0.00e+00 2.52e-07R  4
 102r 1.3926671e+06 1.08e+06 5.90e+07   4.1 1.02e+06    -  9.88e-02 3.04e-03f  1
 103r 1.2137314e+06 7.66e+05 6.24e+07   3.4 1.56e+05    -  8.70e-02 2.31e-02f  1
 104  1.2132396e+06 7.65e+05 5.26e+01  -1.0 6.93e+03    -  1.23e-02 5.03e-04f  1
 105  1.2127394e+06 7.65e+05 3.11e+02  -1.0 8.61e+03    -  6.32e-03 5.07e-04f  1
 106  1.2124945e+06 7.65e+05 9.30e+03  -1.0 1.36e+04    -  6.53e-03 2.36e-04f  1
 107  1.2124678e+06 7.65e+05 4.50e+05  -1.0 3.66e+04    -  1.06e-03 2.25e-05f  1
 108r 1.2124678e+06 7.65e+05 1.00e+03   4.0 0.00e+00    -  0.00e+00 1.65e-07R  2
 109r 1.1293020e+06 6.82e+05 6.61e+07   4.0 1.21e+05    -  1.55e-01 9.37e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 9.2509991e+05 3.94e+05 7.72e+07   3.3 1.06e+05    -  5.17e-03 4.04e-02f  1
 111  9.2398392e+05 3.94e+05 4.34e+01  -1.0 5.83e+03    -  1.94e-02 1.40e-03f  1
 112  9.2306366e+05 3.93e+05 4.26e+01  -1.0 9.92e+03    -  7.38e-04 1.16e-03f  1
 113  9.2240089e+05 3.93e+05 4.47e+01  -1.0 2.03e+04    -  1.02e-03 8.49e-04f  1
 114  9.2218734e+05 3.93e+05 4.52e+01  -1.0 2.62e+04    -  2.82e-04 2.96e-04f  1
 115  9.2214750e+05 3.93e+05 4.56e+01  -1.0 5.34e+04    -  5.24e-05 9.37e-05f  1
 116  9.2076805e+05 3.92e+05 2.04e+02  -1.0 4.02e+04    -  4.72e-04 2.50e-03f  1
 117  9.1861371e+05 3.90e+05 8.75e+02  -1.0 4.04e+04    -  2.94e-03 4.36e-03f  1
 118  9.1468766e+05 3.86e+05 7.31e+03  -1.0 4.06e+04    -  8.80e-03 1.05e-02f  1
 119  9.1495846e+05 3.85e+05 8.13e+03  -1.0 4.20e+04    -  8.43e-03 1.98e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  9.1646195e+05 3.82e+05 1.91e+04  -1.0 4.31e+04    -  6.98e-03 6.70e-03h  2
 121  9.1821720e+05 3.82e+05 2.12e+04  -1.0 5.39e+04    -  5.05e-03 1.68e-03h  3
 122  9.2044638e+05 3.81e+05 2.31e+04  -1.0 6.83e+04    -  7.32e-03 1.15e-03h  3
 123  9.2176739e+05 3.81e+05 2.35e+04  -1.0 1.07e+05    -  6.50e-03 3.20e-04h  4
 124  9.2257686e+05 3.81e+05 4.93e+04  -1.0 1.65e+05    -  4.16e-03 1.10e-04h  4
 125  9.2311390e+05 3.81e+05 8.65e+04  -1.0 2.48e+05    -  1.45e-03 4.46e-05h  4
 126r 9.2311390e+05 3.81e+05 1.00e+03   3.7 0.00e+00    -  0.00e+00 2.67e-07R 10
 127r 8.6481260e+05 3.52e+05 3.53e+06   3.7 9.42e+04    -  3.58e-02 1.02e-02f  1
 128  8.6436150e+05 3.52e+05 9.47e+01  -1.0 3.82e+03    -  4.98e-02 5.20e-04f  1
 129  8.6255257e+05 3.50e+05 8.42e+02  -1.0 4.50e+04    -  8.53e-03 4.00e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  8.6147510e+05 3.48e+05 4.92e+03  -1.0 6.27e+04    -  1.07e-02 6.01e-03f  1
 131  8.6177190e+05 3.48e+05 9.68e+03  -1.0 3.40e+05    -  1.14e-03 4.68e-05h  2
 132r 8.6177190e+05 3.48e+05 1.00e+03   3.7 0.00e+00    -  0.00e+00 2.56e-07R  8
 133r 8.0732854e+05 3.15e+05 1.60e+07   3.7 6.30e+04    -  2.80e-01 1.23e-02f  1
 134  8.0631976e+05 3.15e+05 5.59e+01  -1.0 6.79e+03    -  5.58e-02 9.89e-04f  1
 135  8.0401410e+05 3.14e+05 6.74e+02  -1.0 2.21e+04    -  2.24e-02 1.67e-03f  1
 136  7.9897093e+05 3.13e+05 4.10e+03  -1.0 7.27e+04    -  1.29e-02 2.12e-03f  1
 137  7.9996923e+05 3.13e+05 9.76e+03  -1.0 1.20e+05    -  3.36e-03 5.83e-04h  3
 138  8.0038208e+05 3.13e+05 4.15e+04  -1.0 2.65e+05    -  1.90e-03 8.26e-05h  4
 139r 8.0038208e+05 3.13e+05 1.00e+03   3.6 0.00e+00    -  0.00e+00 4.84e-07R 10
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 7.0076032e+05 2.38e+05 6.55e+06   3.6 6.16e+04    -  2.12e-01 2.52e-02f  1
 141  6.9819977e+05 2.38e+05 3.86e+01  -1.0 5.27e+03    -  5.39e-02 2.90e-03f  1
 142  6.9705294e+05 2.37e+05 1.41e+02  -1.0 4.80e+03    -  1.58e-02 1.24e-03f  1
 143  6.9608083e+05 2.37e+05 3.92e+02  -1.0 1.60e+04    -  4.62e-03 7.95e-04f  1
 144  6.9320748e+05 2.37e+05 1.77e+03  -1.0 2.16e+04    -  9.96e-03 2.09e-03f  1
 145  6.9178663e+05 2.36e+05 1.15e+04  -1.0 3.42e+04    -  4.85e-03 8.81e-04f  1
 146  6.9120070e+05 2.36e+05 2.84e+05  -1.0 6.04e+04    -  5.72e-03 2.78e-04f  1
 147  6.9098671e+05 2.36e+05 3.10e+06  -1.0 8.10e+04    -  1.44e-03 1.37e-04f  1
 148  6.9091635e+05 2.36e+05 9.79e+07  -1.0 7.15e+04    -  1.10e-03 3.78e-05f  1
 149  6.9101155e+05 2.36e+05 9.79e+07  -1.0 3.46e+05    -  9.67e-06 9.67e-06s  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 6.9101155e+05 2.36e+05 1.00e+03   3.4 0.00e+00    -  0.00e+00 0.00e+00R  1
 151r 6.8756738e+05 2.34e+05 1.95e+06   3.4 5.09e+04    -  1.93e-01 9.38e-04f  5
